Time,Displacement,Force,Work
35.8997,1.00,0.01,0.01
35.9497,1.00,0.01,0.01
35.9997,1.00,0.01,0.01
36.0497,1.00,0.01,0.01
36.0997,0.00,0.01,0.00
36.1497,1.00,0.01,0.01
36.1997,1.00,0.01,0.01
36.2497,0.00,0.01,0.00
36.2997,3.00,0.01,0.03
36.3497,2.00,0.01,0.02
36.3997,3.00,0.01,0.03
36.4497,2.00,0.01,0.02
36.4997,2.00,0.01,0.02
36.5497,2.00,0.01,0.02
36.5997,1.00,0.01,0.01
36.6497,1.00,0.01,0.01
36.6997,1.00,0.01,0.01
36.7497,0.00,0.01,0.00
36.7997,0.00,0.01,0.00
36.8497,1.00,0.01,0.01
36.8997,1.00,0.01,0.01
36.9497,2.00,0.01,0.02
36.9997,2.00,0.01,0.02
37.0497,0.00,0.01,0.00
37.0997,0.00,0.01,0.00
37.1497,0.00,0.01,0.00
37.1997,1.00,0.01,0.01
37.2497,1.00,0.01,0.01
37.2997,0.00,0.01,0.00
37.3497,0.00,0.01,0.00
37.3997,3.00,0.01,0.03
37.4497,1.00,0.01,0.01
37.4997,2.00,0.01,0.02
37.5497,0.00,0.01,0.00
37.5997,1.00,0.01,0.01
37.6497,3.00,0.01,0.03
37.6997,2.00,0.01,0.02
37.7497,0.00,0.01,0.00
37.7997,0.00,0.01,0.00
37.8497,2.00,0.01,0.02
37.8997,2.00,0.01,0.02
37.9497,2.00,0.01,0.02
37.9997,1.00,0.01,0.01
38.0497,1.00,0.01,0.01
38.0997,1.00,0.01,0.01
38.1497,1.00,0.01,0.01
38.1997,0.00,0.01,0.00
38.2497,1.00,0.01,0.01
38.2997,2.00,0.01,0.02
38.3497,1.00,0.01,0.01
38.3997,1.00,0.01,0.01
38.4497,1.00,0.01,0.01
38.4997,1.00,0.01,0.01
38.5497,1.00,0.01,0.01
38.5997,2.00,0.01,0.02
38.6497,0.00,0.01,0.00
38.6997,2.00,0.01,0.02
38.7497,0.00,0.01,0.00
38.7997,1.00,0.01,0.01
38.8497,0.00,0.01,0.00
38.8997,3.00,0.01,0.03
38.9497,2.00,0.01,0.02
38.9997,1.00,0.01,0.01
39.0497,1.00,0.01,0.01
39.0997,1.00,0.01,0.01
39.1497,0.00,0.01,0.00
39.1997,0.00,0.01,0.00
39.2497,0.00,0.01,0.00
39.2997,0.00,0.01,0.00
39.3497,1.00,0.01,0.01
39.3997,2.00,0.01,0.02
39.4497,2.00,0.01,0.02
39.4997,1.00,0.01,0.01
39.5497,1.00,0.01,0.01
39.5997,0.00,0.01,0.00
39.6497,0.00,0.01,0.00
39.6997,3.00,0.01,0.03
39.7497,1.00,0.01,0.01
39.7997,0.00,0.01,0.00
39.8497,2.00,0.01,0.02
39.8997,2.00,0.01,0.02
39.9497,4.00,0.01,0.04
39.9997,1.00,0.01,0.01
40.0497,2.00,0.01,0.02
40.0997,3.00,0.01,0.03
40.1497,3.00,0.01,0.03
40.1997,0.00,0.01,0.00
40.2497,1.00,0.01,0.01
